ip_address,first_seen,last_seen,sources,asn,isp_name,country,city,hostname,host_type,risk_level,abuse_contact,cidr,asn_registry,updated_date
196.0.120.211,2025-11-26 10:51:08,2025-11-27 13:34:58,"GreenSnow, IPSum Level 3",21491,"UGANDA-TELECOM Uganda Telecom, UG",UG,Unknown,Unknown,Residential/ISP,Moderate (Res),Unknown,196.0.0.0/16,afrinic,Unknown
103.23.199.119,2025-11-26 10:51:09,2025-11-27 13:34:58,"GreenSnow, IPSum Level 3",136052,"IDNIC-IDCLOUDHOST-AS-ID PT Cloud Hosting Indonesia, ID",ID,Unknown,ip103-23-199-119.cloudhost.web.id,Cloud/Hosting,High (Cloud),admin@idcloudhost.com,103.23.199.0/24,apnic,Unknown
211.232.110.114,2025-11-26 10:51:12,2025-11-27 13:34:59,GreenSnow,17877,"NEXG-AS-KR KX NexG Co., LTD, KR",KR,Unknown,POBIS-AD004.pobis.co.kr,Residential/ISP,Moderate (Res),hostmaster@nic.or.kr,211.232.0.0/17,apnic,Unknown
203.217.101.237,2025-11-26 10:51:13,2025-11-26 10:51:13,GreenSnow,17809,"VEETIME-TW-AP VEE TIME CORP., TW",TW,Unknown,203-217-101-237.veetime.com,Residential/ISP,Moderate (Res),m2310@emax.net.tw,203.217.96.0/20,apnic,Unknown
101.36.98.91,2025-11-26 10:51:15,2025-11-27 13:34:59,"GreenSnow, IPSum Level 3",135377,"UCLOUD-HK-AS-AP UCLOUD INFORMATION TECHNOLOGY HK LIMITED, HK",HK,Unknown,Unknown,Cloud/Hosting,High (Cloud),pn-wan@ucloud.cn,101.36.98.0/23,apnic,Unknown
8.138.210.67,2025-11-26 10:51:16,2025-11-27 13:35:00,"GreenSnow, IPSum Level 3",37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd., CN",SG,Unknown,Unknown,Cloud/Hosting,High (Cloud),abuse@alibaba-inc.com,8.128.0.0/11,apnic,Unknown
101.47.141.128,2025-11-26 10:51:17,2025-11-27 13:34:59,"GreenSnow, IPSum Level 3",150436,"BYTEPLUS-AS-AP Byteplus Pte. Ltd., SG",SG,Unknown,Unknown,Residential/ISP,Moderate (Res),bd_abuse@bytedance.com,"101.47.112.0/20, 101.47.128.0/17",apnic,Unknown
81.30.162.18,2025-11-27 13:35:07,2025-11-27 13:35:07,"GreenSnow, IPSum Level 3",24945,"ASN-VNTP, UA",UA,Unknown,server01.vsau.org,Residential/ISP,Moderate (Res),michael@vinnitsa.com,"81.30.160.0/22, 81.30.164.0/24",ripencc,Unknown
5.182.33.212,2025-11-27 13:35:16,2025-11-27 13:35:16,GreenSnow,51167,"CONTABO, DE",DE,Unknown,f31.eelserver.com,Residential/ISP,Moderate (Res),abuse@contabo.de,5.182.33.0/24,ripencc,Unknown
220.81.215.178,2025-11-27 13:35:28,2025-11-27 13:35:28,GreenSnow,4766,"KIXS-AS-KR Korea Telecom, KR",KR,Unknown,Unknown,Residential/ISP,Moderate (Res),hostmaster@nic.or.kr,220.80.0.0/13,apnic,Unknown
190.108.79.128,2025-11-27 13:35:32,2025-11-27 13:35:32,"GreenSnow, IPSum Level 3",270035,"CELSIA COLOMBIA S.A. E.S.P., CO",CO,Unknown,gpon-190.108.79.128-celsiainternet.com,Residential/ISP,Moderate (Res),abuse@celsiainternet.com,190.108.76.0/22,lacnic,Unknown
8.219.222.194,2025-11-27 13:35:40,2025-11-27 13:35:40,GreenSnow,45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",SG,Unknown,Unknown,Cloud/Hosting,High (Cloud),abuse@alibaba-inc.com,8.208.0.0/12,apnic,Unknown
45.78.217.205,2025-11-27 13:35:54,2025-11-27 13:35:54,"GreenSnow, IPSum Level 3",150436,"BYTEPLUS-AS-AP Byteplus Pte. Ltd., SG",SG,Unknown,Unknown,Residential/ISP,Moderate (Res),bd_abuse@bytedance.com,"45.78.192.0/19, 45.78.224.0/20, 45.78.240.0/21, 45.78.248.0/22, 45.78.252.0/23, 45.78.254.0/24, 45.78.255.0/25, 45.78.255.128/26, 45.78.255.192/27, 45.78.255.224/28, 45.78.255.240/29, 45.78.255.248/30, 45.78.255.252/31, 45.78.255.254/32",apnic,Unknown
101.47.163.255,2025-11-27 13:36:03,2025-11-27 13:36:03,"GreenSnow, IPSum Level 3",150436,"BYTEPLUS-AS-AP Byteplus Pte. Ltd., SG",SG,Unknown,Unknown,Residential/ISP,Moderate (Res),bd_abuse@bytedance.com,"101.47.112.0/20, 101.47.128.0/17",apnic,Unknown
162.241.217.42,2025-11-27 13:36:14,2025-11-27 13:36:14,GreenSnow,31898,"ORACLE-BMC-31898, US",US,Unknown,box5455.bluehost.com,Cloud/Hosting,High (Cloud),IARPOC@Newfold.com,162.240.0.0/15,arin,Unknown
14.103.127.231,2025-11-27 13:36:28,2025-11-27 13:36:28,"GreenSnow, IPSum Level 3",4811 137718,,CN,Unknown,Unknown,Residential/ISP,Moderate (Res),gnoc@bytedance.com,14.103.0.0/16,apnic,Unknown
14.103.207.251,2025-11-27 13:36:41,2025-11-27 13:36:41,"GreenSnow, IPSum Level 3",4811 137718,,CN,Unknown,Unknown,Residential/ISP,Moderate (Res),gnoc@bytedance.com,14.103.0.0/16,apnic,Unknown
47.80.1.149,2025-11-27 13:36:53,2025-11-27 13:36:53,"GreenSnow, IPSum Level 3",45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",US,Unknown,Unknown,Cloud/Hosting,High (Cloud),intl-abuse@list.alibaba-inc.com,"47.74.0.0/15, 47.76.0.0/14, 47.80.0.0/13",arin,Unknown
190.189.123.14,2025-11-27 13:37:02,2025-11-27 13:37:02,"GreenSnow, IPSum Level 3",7303,"Telecom Argentina S.A., AR",AR,Unknown,14-123-189-190.cab.prima.net.ar,Residential/ISP,Moderate (Res),abuse@teco.com.ar,190.188.0.0/15,lacnic,Unknown
173.201.187.142,2025-11-27 13:37:11,2025-11-27 13:37:11,"GreenSnow, IPSum Level 3",398101,"GO-DADDY-COM-LLC, US",US,Unknown,ip-173-201-187-142.ip.secureserver.net,Residential/ISP,Moderate (Res),abuse@godaddy.com,"173.201.48.0/20, 173.201.64.0/18, 173.201.128.0/17",arin,Unknown
8.222.183.7,2025-11-27 13:37:18,2025-11-27 13:37:18,GreenSnow,45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",SG,Unknown,Unknown,Cloud/Hosting,High (Cloud),abuse@alibaba-inc.com,8.208.0.0/12,apnic,Unknown
218.236.143.71,2025-11-27 13:37:28,2025-11-27 13:37:28,"GreenSnow, IPSum Level 3",9318,"SKB-AS SK Broadband Co Ltd, KR",KR,Unknown,Unknown,Residential/ISP,Moderate (Res),hostmaster@nic.or.kr,218.236.0.0/14,apnic,Unknown
59.97.205.137,2025-11-27 13:37:36,2025-11-27 13:37:36,"GreenSnow, IPSum Level 3",9829,"BSNL-NIB National Internet Backbone, IN",IN,Unknown,Unknown,Residential/ISP,Moderate (Res),abuse1@bsnl.co.in,59.97.192.0/18,apnic,Unknown
81.215.228.18,2025-11-27 13:37:46,2025-11-27 13:37:46,"GreenSnow, IPSum Level 3",9121,"TTNET, TR",TR,Unknown,81.215.228.18.dynamic.ttnet.com.tr,Residential/ISP,Moderate (Res),abuse@turktelekom.com.tr,81.215.228.0/22,ripencc,Unknown
101.126.30.240,2025-11-27 13:37:59,2025-11-27 13:37:59,"GreenSnow, IPSum Level 3",137718,"VOLCANO-ENGINE Beijing Volcano Engine Technology Co., Ltd., CN",CN,Unknown,Unknown,Residential/ISP,Moderate (Res),gnoc@bytedance.com,101.126.0.0/16,apnic,Unknown
95.58.255.251,2025-11-27 13:38:10,2025-11-27 13:38:10,"GreenSnow, IPSum Level 3",9198,"KAZTELECOM-AS, KZ",KZ,Unknown,95.58.255.251.static.telecom.kz,Residential/ISP,Moderate (Res),abuse@telecom.kz,95.58.255.248/29,ripencc,Unknown
14.18.110.73,2025-11-27 13:38:18,2025-11-27 13:38:18,GreenSnow,58466,"CT-GUANGZHOU-IDC CHINANET Guangdong province network, CN",CN,Unknown,Unknown,Residential/ISP,Moderate (Res),anti-spam@chinatelecom.cn,14.16.0.0/12,apnic,Unknown
124.226.216.189,2025-11-27 13:38:34,2025-11-27 13:38:34,"GreenSnow, IPSum Level 3",137693,"CHINATELECOM-GUANGXI-NANNING-IDC CHINATELECOM Guangxi Nanning IDC networkdescr: NanningGuangxi Province, P.R.China., CN",CN,Unknown,Unknown,Residential/ISP,Moderate (Res),anti-spam@chinatelecom.cn,124.226.0.0/15,apnic,Unknown
199.45.155.78,2025-11-27 13:38:46,2025-11-27 13:38:46,"GreenSnow, IPSum Level 3",398722,"CENSYS-ARIN-03, US",US,Unknown,scanner-202.hk2.censys-scanner.com,Residential/ISP,Moderate (Res),scan-abuse@censys.io,199.45.154.0/23,arin,Unknown
62.173.38.229,2025-11-27 13:38:56,2025-11-27 13:38:56,"GreenSnow, IPSum Level 3",29091,"IPNXng, NG",NG,Unknown,62-173-38-229.rv.ipnxtelecoms.com,Residential/ISP,Moderate (Res),Unknown,"62.173.32.0/21, 62.173.40.0/23",afrinic,Unknown
188.130.238.85,2025-11-27 13:39:05,2025-11-27 13:39:05,"GreenSnow, IPSum Level 3",215670,"FIRSTPAGE-AS, KZ",CZ,Unknown,Unknown,Residential/ISP,Moderate (Res),abuse@firstpage.kz,188.130.238.0/24,ripencc,Unknown
194.180.49.170,2025-11-27 13:39:14,2025-11-27 13:39:14,"GreenSnow, IPSum Level 3",201814,"MEVSPACE, PL",BG,Unknown,Unknown,Residential/ISP,Moderate (Res),abuse@razinetwork.com,194.180.49.0/24,ripencc,Unknown
115.91.91.182,2025-11-27 13:39:24,2025-11-27 13:39:24,"GreenSnow, IPSum Level 3",3786,"LGDACOM LG DACOM Corporation, KR",KR,Unknown,Unknown,Residential/ISP,Moderate (Res),hostmaster@nic.or.kr,115.88.0.0/13,apnic,Unknown
103.190.214.241,2025-11-27 13:39:38,2025-11-27 13:39:38,"GreenSnow, IPSum Level 3",38513,"LINTASARTA-AS-ID PT Aplikanusa Lintasarta, ID",ID,Unknown,Unknown,Residential/ISP,Moderate (Res),abuse@idnic.net,103.190.214.0/24,apnic,Unknown
34.134.144.77,2025-11-27 13:39:43,2025-11-27 13:39:43,GreenSnow,396982,"GOOGLE-CLOUD-PLATFORM, US",US,Unknown,77.144.134.34.bc.googleusercontent.com,Cloud/Hosting,High (Cloud),google-cloud-compliance@google.com,34.128.0.0/10,arin,Unknown
208.109.32.191,2025-11-27 13:39:52,2025-11-27 13:39:52,"GreenSnow, IPSum Level 3",398101,"GO-DADDY-COM-LLC, US",US,Unknown,191.32.109.208.host.secureserver.net,Residential/ISP,Moderate (Res),abuse@godaddy.com,208.109.0.0/16,arin,Unknown
101.47.140.222,2025-11-27 13:40:00,2025-11-27 13:40:00,"GreenSnow, IPSum Level 3",150436,"BYTEPLUS-AS-AP Byteplus Pte. Ltd., SG",SG,Unknown,Unknown,Residential/ISP,Moderate (Res),bd_abuse@bytedance.com,"101.47.112.0/20, 101.47.128.0/17",apnic,Unknown
78.109.200.147,2025-11-27 13:40:12,2025-11-27 13:40:12,"GreenSnow, IPSum Level 3",25184,"AFRANET to AS62265 announce AS25184, IR",IR,Unknown,Unknown,Residential/ISP,Moderate (Res),abuse@afranet.com,78.109.192.0/20,ripencc,Unknown
14.18.72.78,2025-11-27 13:40:21,2025-11-27 13:40:21,"GreenSnow, IPSum Level 3",58466,"CT-GUANGZHOU-IDC CHINANET Guangdong province network, CN",CN,Unknown,Unknown,Residential/ISP,Moderate (Res),anti-spam@chinatelecom.cn,14.16.0.0/12,apnic,Unknown
8.222.144.206,2025-11-27 13:40:28,2025-11-27 13:40:28,GreenSnow,45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",SG,Unknown,Unknown,Cloud/Hosting,High (Cloud),abuse@alibaba-inc.com,8.208.0.0/12,apnic,Unknown
116.21.172.57,2025-11-27 13:40:37,2025-11-27 13:40:37,GreenSnow,4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,Unknown,Unknown,Residential/ISP,Moderate (Res),anti-spam@chinatelecom.cn,116.16.0.0/12,apnic,Unknown
45.78.223.67,2025-11-27 13:40:50,2025-11-27 13:40:50,"GreenSnow, IPSum Level 3",150436,"BYTEPLUS-AS-AP Byteplus Pte. Ltd., SG",SG,Unknown,Unknown,Residential/ISP,Moderate (Res),bd_abuse@bytedance.com,"45.78.192.0/19, 45.78.224.0/20, 45.78.240.0/21, 45.78.248.0/22, 45.78.252.0/23, 45.78.254.0/24, 45.78.255.0/25, 45.78.255.128/26, 45.78.255.192/27, 45.78.255.224/28, 45.78.255.240/29, 45.78.255.248/30, 45.78.255.252/31, 45.78.255.254/32",apnic,Unknown
101.47.160.165,2025-11-27 13:40:58,2025-11-27 13:40:58,"GreenSnow, IPSum Level 3",150436,"BYTEPLUS-AS-AP Byteplus Pte. Ltd., SG",SG,Unknown,Unknown,Residential/ISP,Moderate (Res),bd_abuse@bytedance.com,"101.47.112.0/20, 101.47.128.0/17",apnic,Unknown
47.76.120.125,2025-11-27 13:41:07,2025-11-27 13:41:07,"GreenSnow, IPSum Level 3",45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",US,Unknown,Unknown,Cloud/Hosting,High (Cloud),Unknown,47.76.0.0/16,arin,Unknown
152.32.190.168,2025-11-27 13:41:16,2025-11-27 13:41:16,"GreenSnow, IPSum Level 3",135377,"UCLOUD-HK-AS-AP UCLOUD INFORMATION TECHNOLOGY HK LIMITED, HK",HK,Unknown,Unknown,Cloud/Hosting,High (Cloud),pn-wan@ucloud.cn,152.32.190.0/24,apnic,Unknown
41.83.125.215,2025-11-27 13:41:25,2025-11-27 13:41:25,GreenSnow,8346,"SONATEL SONATEL-AS Autonomous System, SN",SN,Unknown,Unknown,Residential/ISP,Moderate (Res),Unknown,41.82.0.0/15,afrinic,Unknown
103.49.238.51,2025-11-27 13:41:35,2025-11-27 13:41:35,"GreenSnow, IPSum Level 3",136052,"IDNIC-IDCLOUDHOST-AS-ID PT Cloud Hosting Indonesia, ID",ID,Unknown,ip103-49-238-51.cloudhost.web.id,Cloud/Hosting,High (Cloud),admin@idcloudhost.com,103.49.238.0/24,apnic,Unknown
117.50.70.125,2025-11-27 13:41:45,2025-11-27 13:41:45,"GreenSnow, IPSum Level 3",4808 23724,,CN,Unknown,Unknown,Residential/ISP,Moderate (Res),jacky.jia@ucloud.cn,117.50.0.0/16,apnic,Unknown
8.220.243.173,2025-11-27 13:41:53,2025-11-27 13:41:53,GreenSnow,45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",SG,Unknown,Unknown,Cloud/Hosting,High (Cloud),abuse@alibaba-inc.com,8.208.0.0/12,apnic,Unknown
216.180.246.9,2025-11-27 13:42:05,2025-11-27 13:42:05,"CINS Army, GreenSnow, IPSum Level 3",396982,"GOOGLE-CLOUD-PLATFORM, US",US,Unknown,crawler009.deepfield.net,Cloud/Hosting,High (Cloud),Unknown,216.180.246.0/24,arin,Unknown
136.114.199.181,2025-11-27 13:42:15,2025-11-27 13:42:15,GreenSnow,396982,"GOOGLE-CLOUD-PLATFORM, US",US,Unknown,181.199.114.136.bc.googleusercontent.com,Cloud/Hosting,High (Cloud),google-cloud-compliance@google.com,136.112.0.0/12,arin,Unknown
34.82.213.123,2025-11-27 13:42:22,2025-11-27 13:42:22,GreenSnow,396982,"GOOGLE-CLOUD-PLATFORM, US",US,Unknown,123.213.82.34.bc.googleusercontent.com,Cloud/Hosting,High (Cloud),google-cloud-compliance@google.com,34.64.0.0/10,arin,Unknown
95.111.233.164,2025-11-27 13:42:31,2025-11-27 13:42:31,"GreenSnow, IPSum Level 3",51167,"CONTABO, DE",DE,Unknown,smartmail.in.net,Residential/ISP,Moderate (Res),abuse@contabo.de,95.111.224.0/20,ripencc,Unknown
14.103.112.104,2025-11-27 13:42:44,2025-11-27 13:42:44,"GreenSnow, IPSum Level 3",4811 137718,,CN,Unknown,Unknown,Residential/ISP,Moderate (Res),gnoc@bytedance.com,14.103.0.0/16,apnic,Unknown
45.78.216.188,2025-11-27 13:42:58,2025-11-27 13:42:58,"GreenSnow, IPSum Level 3",150436,"BYTEPLUS-AS-AP Byteplus Pte. Ltd., SG",SG,Unknown,Unknown,Residential/ISP,Moderate (Res),bd_abuse@bytedance.com,"45.78.192.0/19, 45.78.224.0/20, 45.78.240.0/21, 45.78.248.0/22, 45.78.252.0/23, 45.78.254.0/24, 45.78.255.0/25, 45.78.255.128/26, 45.78.255.192/27, 45.78.255.224/28, 45.78.255.240/29, 45.78.255.248/30, 45.78.255.252/31, 45.78.255.254/32",apnic,Unknown
47.237.18.142,2025-11-27 13:43:08,2025-11-27 13:43:08,GreenSnow,45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",US,Unknown,Unknown,Cloud/Hosting,High (Cloud),intl-abuse@list.alibaba-inc.com,"47.235.0.0/16, 47.236.0.0/14, 47.240.0.0/14, 47.244.0.0/15, 47.246.0.0/16",arin,Unknown
77.90.185.30,2025-11-27 13:43:17,2025-11-27 13:43:17,"GreenSnow, IPSum Level 3",215476,"INSIDENETWORK, GB",DE,Unknown,Unknown,Residential/ISP,Moderate (Res),abuse@insidenetwork.info,77.90.185.0/24,ripencc,Unknown
103.253.27.80,2025-11-27 13:43:25,2025-11-27 13:43:25,"GreenSnow, IPSum Level 3",133210,"ENTECHNOLOGIES-AS-AP EN Technologies Pte Ltd, SG",SG,Unknown,host.alihdayadigital.com,Residential/ISP,Moderate (Res),abuse@axgn.com.sg,103.253.24.0/22,apnic,Unknown
4.206.54.177,2025-11-27 13:43:42,2025-11-27 13:43:42,"GreenSnow, IPSum Level 3",8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,Unknown,Unknown,Cloud/Hosting,High (Cloud),abuse@microsoft.com,4.192.0.0/12,arin,Unknown
49.64.85.138,2025-11-27 13:43:50,2025-11-27 13:43:50,"GreenSnow, IPSum Level 3",4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,Unknown,Unknown,Residential/ISP,Moderate (Res),anti-spam@chinatelecom.cn,49.64.0.0/11,apnic,Unknown
103.210.22.105,2025-11-27 13:43:58,2025-11-27 13:43:58,"GreenSnow, IPSum Level 3",135377,"UCLOUD-HK-AS-AP UCLOUD INFORMATION TECHNOLOGY HK LIMITED, HK",SG,Unknown,Unknown,Cloud/Hosting,High (Cloud),unoc@ucloud.cn,103.210.22.0/24,apnic,Unknown
38.19.151.66,2025-11-27 13:44:12,2025-11-27 13:44:12,"GreenSnow, IPSum Level 3",27843,"WIN EMPRESAS S.A.C., PE",US,Unknown,Unknown,Residential/ISP,Moderate (Res),abuse@cogentco.com,38.0.0.0/8,arin,Unknown
47.237.81.120,2025-11-27 13:44:22,2025-11-27 13:44:22,GreenSnow,45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",US,Unknown,Unknown,Cloud/Hosting,High (Cloud),intl-abuse@list.alibaba-inc.com,"47.235.0.0/16, 47.236.0.0/14, 47.240.0.0/14, 47.244.0.0/15, 47.246.0.0/16",arin,Unknown
194.74.196.10,2025-11-27 13:44:30,2025-11-27 13:44:30,"GreenSnow, IPSum Level 3",2856,"BT-UK-AS BTnet UK Regional network, GB",GB,Unknown,Unknown,Residential/ISP,Moderate (Res),abuse@bt.com,194.74.196.8/29,ripencc,Unknown
125.208.21.90,2025-11-27 13:44:38,2025-11-27 13:44:38,"GreenSnow, IPSum Level 3",146817,"FXNET Hubei Feixun Network Co., Ltd, CN",CN,Unknown,Unknown,Residential/ISP,Moderate (Res),Sn@fxyun.com,125.208.16.0/21,apnic,Unknown
103.174.115.5,2025-11-27 13:44:41,2025-11-27 13:44:41,"GreenSnow, IPSum Level 3",136052,"IDNIC-IDCLOUDHOST-AS-ID PT Cloud Hosting Indonesia, ID",ID,Unknown,ip103-174-115-5.cloudhost.web.id,Cloud/Hosting,High (Cloud),abuse@idnic.net,0.0.0.0/0,apnic,Unknown
68.178.161.65,2025-11-27 13:44:49,2025-11-27 13:44:49,"GreenSnow, IPSum Level 3",26496,"AS-26496-GO-DADDY-COM-LLC, US",US,Unknown,65.161.178.68.host.secureserver.net,Residential/ISP,Moderate (Res),abuse@godaddy.com,68.178.128.0/17,arin,Unknown
45.78.227.255,2025-11-27 13:45:03,2025-11-27 13:45:03,"GreenSnow, IPSum Level 3",150436,"BYTEPLUS-AS-AP Byteplus Pte. Ltd., SG",SG,Unknown,Unknown,Residential/ISP,Moderate (Res),bd_abuse@bytedance.com,"45.78.192.0/19, 45.78.224.0/20, 45.78.240.0/21, 45.78.248.0/22, 45.78.252.0/23, 45.78.254.0/24, 45.78.255.0/25, 45.78.255.128/26, 45.78.255.192/27, 45.78.255.224/28, 45.78.255.240/29, 45.78.255.248/30, 45.78.255.252/31, 45.78.255.254/32",apnic,Unknown
213.156.43.111,2025-11-27 13:45:09,2025-11-27 13:45:09,"GreenSnow, IPSum Level 3",12874,"FASTWEB, IT",IT,Unknown,213-156-43-111.ip.fastwebnet.it,Residential/ISP,Moderate (Res),abuse@fastweb.it,213.156.43.64/26,ripencc,Unknown
103.134.154.55,2025-11-27 13:45:19,2025-11-27 13:45:19,"GreenSnow, IPSum Level 3",138608,"CLOUDHOST-AS-AP Cloud Host Pte Ltd, SG",SG,Unknown,ip55.154.134.103.in-addr.arpa.unknwn.cloudhost.asia,Cloud/Hosting,High (Cloud),abuse@cloudhost.asia,103.134.152.0/22,apnic,Unknown
159.138.111.122,2025-11-27 13:45:27,2025-11-27 13:45:27,"GreenSnow, IPSum Level 3",136907,"HWCLOUDS-AS-AP HUAWEI CLOUDS, HK",SG,Unknown,ecs-159-138-111-122.compute.hwclouds-dns.com,Cloud/Hosting,High (Cloud),hwssecurity@huaweicloud.com,159.138.96.0/20,apnic,Unknown
115.190.140.2,2025-11-27 13:45:41,2025-11-27 13:45:41,"GreenSnow, IPSum Level 3",137718,"VOLCANO-ENGINE Beijing Volcano Engine Technology Co., Ltd., CN",CN,Unknown,Unknown,Residential/ISP,Moderate (Res),gnoc@bytedance.com,115.190.0.0/15,apnic,Unknown
85.173.245.55,2025-11-27 13:45:50,2025-11-27 13:45:50,"GreenSnow, IPSum Level 3",42362,"ALANIA-AS PJSC Rostelecom. North Ossetion branch, RU",RU,Unknown,xDSL-85-173-245-55.soes.su,Residential/ISP,Moderate (Res),abuse@rt.ru,85.173.224.0/19,ripencc,Unknown
14.103.114.231,2025-11-27 13:46:04,2025-11-27 13:46:04,"GreenSnow, IPSum Level 3",4811 137718,,CN,Unknown,Unknown,Residential/ISP,Moderate (Res),gnoc@bytedance.com,14.103.0.0/16,apnic,Unknown
101.47.142.98,2025-11-27 13:46:12,2025-11-27 13:46:12,"GreenSnow, IPSum Level 3",150436,"BYTEPLUS-AS-AP Byteplus Pte. Ltd., SG",SG,Unknown,Unknown,Residential/ISP,Moderate (Res),bd_abuse@bytedance.com,"101.47.112.0/20, 101.47.128.0/17",apnic,Unknown
154.53.62.61,2025-11-27 13:46:22,2025-11-27 13:46:22,"GreenSnow, IPSum Level 3",40021,"CONTABO-40021, US",US,Unknown,vmi1548620.contaboserver.net,Residential/ISP,Moderate (Res),abuse@cogentco.com,154.53.0.0/16,arin,Unknown
185.17.41.205,2025-11-27 13:46:32,2025-11-27 13:46:32,GreenSnow,197155,"ARTNET, PL",PL,Unknown,da04.vipower.pl,Residential/ISP,Moderate (Res),abuse@artnet.pl,185.17.41.0/24,ripencc,Unknown
45.78.222.227,2025-11-27 13:46:45,2025-11-27 13:46:45,"GreenSnow, IPSum Level 3",150436,"BYTEPLUS-AS-AP Byteplus Pte. Ltd., SG",SG,Unknown,Unknown,Residential/ISP,Moderate (Res),bd_abuse@bytedance.com,"45.78.192.0/19, 45.78.224.0/20, 45.78.240.0/21, 45.78.248.0/22, 45.78.252.0/23, 45.78.254.0/24, 45.78.255.0/25, 45.78.255.128/26, 45.78.255.192/27, 45.78.255.224/28, 45.78.255.240/29, 45.78.255.248/30, 45.78.255.252/31, 45.78.255.254/32",apnic,Unknown
116.255.159.84,2025-11-27 13:46:55,2025-11-27 13:46:55,"GreenSnow, IPSum Level 3",4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,Unknown,Unknown,Residential/ISP,Moderate (Res),support@cnispgroup.com,116.255.128.0/18,apnic,Unknown
45.78.201.122,2025-11-27 13:47:09,2025-11-27 13:47:09,"GreenSnow, IPSum Level 3",150436,"BYTEPLUS-AS-AP Byteplus Pte. Ltd., SG",SG,Unknown,Unknown,Residential/ISP,Moderate (Res),bd_abuse@bytedance.com,"45.78.192.0/19, 45.78.224.0/20, 45.78.240.0/21, 45.78.248.0/22, 45.78.252.0/23, 45.78.254.0/24, 45.78.255.0/25, 45.78.255.128/26, 45.78.255.192/27, 45.78.255.224/28, 45.78.255.240/29, 45.78.255.248/30, 45.78.255.252/31, 45.78.255.254/32",apnic,Unknown
125.212.235.151,2025-11-27 13:47:18,2025-11-27 13:47:18,"GreenSnow, IPSum Level 3",38731,"VTDC-AS-VN Vietel - CHT Compamy Ltd, VN",VN,Unknown,Unknown,Residential/ISP,Moderate (Res),hm-changed@vnnic.vn,125.212.128.0/17,apnic,Unknown
91.224.92.184,2025-11-27 13:47:34,2025-11-27 13:47:34,GreenSnow,209605,"HOSTBALTIC, LT",GB,Unknown,Unknown,Residential/ISP,Moderate (Res),admin@serveroffer.lt,91.224.92.0/24,ripencc,Unknown
103.163.214.6,2025-11-27 13:47:42,2025-11-27 13:47:42,GreenSnow,131366,"LANIT-AS-VN Lanit Technology and Communication Joint Stock Company, VN",VN,Unknown,mail.hachipharma.vn,Residential/ISP,Moderate (Res),hm-changed@vnnic.vn,103.163.214.0/23,apnic,Unknown
119.159.147.232,2025-11-27 13:47:51,2025-11-27 13:47:51,GreenSnow,17557,"PKTELECOM-AS-PK Pakistan Telecommunication Company Limited, PK",PK,Unknown,Unknown,Residential/ISP,Moderate (Res),abuse.irt@ptcl.net,119.159.144.0/20,apnic,Unknown
101.126.54.95,2025-11-27 13:48:05,2025-11-27 13:48:05,"GreenSnow, IPSum Level 3",137718,"VOLCANO-ENGINE Beijing Volcano Engine Technology Co., Ltd., CN",CN,Unknown,Unknown,Residential/ISP,Moderate (Res),gnoc@bytedance.com,101.126.0.0/16,apnic,Unknown
94.141.5.251,2025-11-27 13:48:20,2025-11-27 13:48:20,GreenSnow,5602,"AS-IRIDEOS-KP, IT",IT,Unknown,251.5.141.94.ip.retelit.net,Residential/ISP,Moderate (Res),abuse@retelit.it,94.141.5.248/29,ripencc,Unknown
45.78.222.244,2025-11-27 13:48:34,2025-11-27 13:48:34,"GreenSnow, IPSum Level 3",150436,"BYTEPLUS-AS-AP Byteplus Pte. Ltd., SG",SG,Unknown,Unknown,Residential/ISP,Moderate (Res),bd_abuse@bytedance.com,"45.78.192.0/19, 45.78.224.0/20, 45.78.240.0/21, 45.78.248.0/22, 45.78.252.0/23, 45.78.254.0/24, 45.78.255.0/25, 45.78.255.128/26, 45.78.255.192/27, 45.78.255.224/28, 45.78.255.240/29, 45.78.255.248/30, 45.78.255.252/31, 45.78.255.254/32",apnic,Unknown
103.106.194.74,2025-11-27 13:48:42,2025-11-27 13:48:42,"GreenSnow, IPSum Level 3",134319,"ELYZIUM-AS Elyzium Technologies Pvt. Ltd., IN",IN,Unknown,portal.checkboxtechnology.com,Residential/ISP,Moderate (Res),nitin@elyziumconsulting.com,103.106.192.0/22,apnic,Unknown
